lessonid,moduleid,conceptid,title,content
3,2,6,??God's promised plan,"God promised to fix the world through a man (Abraham):
????????????? - he will have many children 
?????????? - he and his children will be in a relationship with God, they will be ""God's people""
???? - God will give them a land to enjoy life, under God's rule.
???? - Through the descendants, people from all nations can be blessed and come into relationship with God."
3,2,7,??Aim of the promised plan: Better than the Garden ,"The plan which these promises describe is better than a restoration of the Garden, it's for a much larger place, with more people, and more intimacy with God.
This promised plan aims to establish the good purpose of life.
??:????????????? God's people (Abraham's family)
??:?????????? living in God's place (promised land)
?:???????? living God's way (obeying God as his people)"
3,2,8,??Progress of the promised plan in the Old Testament,"By the end of the Old Testament, the promises are seen partially, but ultimately fail to be completed."
3,2,9,??Some Success:,"Some Success:
???????????? Nation formed: Rescued Egyptian slaves made God's people; the nation of Israel
??? God gives them a Land: Israel migrate to Canaan and enjoy blessing there.
?? God's law given: Israel was given God's law to obey as God's people.
??? God is with them: God offers access to his people, but they must sacrifice animals to take away the offence of their sin.
??? Israel offer blessing to some foreigners: Occasionally Israel offer God's blessing to foreigners. These foreigners became part of God's people through their trust and obedience to God; they joined the community of Israel.
Some Failure:"
3,2,10,??Some Failure:,"???????????? Nation dispersed: Rescued Egyptian slaves made God's people; the nation of Israel
?? Repeated disobedience and obedience: Israel continually wavered between complete disobedience and returning to obedience.  
??? God kicks them out, but lets some back in: Because of Israel's repeated disobedience and sin, God allows nations to plunder the land, and send Israel into slavery in Babylon. After 70 years, some return to the land, but it didn't return to its former glory days.
????????? A separated marriage: Over time, the relationship with Israel and God became fractured due to Israel's continual sin. God promises a restoration, but it is not seen in the Old Testament.
??? - Israel's failure to worship God, and continued practice of worshipping false gods means they have failed to be a source of blessing to other nations"
3,2,11,??The promises plan expanded,"??????A King to lead Israel in obeying God
?? - the king of Israel is established to be examples of obeying God
but many of them are very bad.
? - some abuse their power
? - some marry many women with other religions and they worship many other gods... which is a terrible example for the citizens.
?????????? A king for all nations
?? - the king was also to be the one to which the nations could turn to be blessed. The promise of God to bless the nations has narrowed in from Israel to focus on blessing through submission to Israel's King... God's Messiah
?? - the king will live forever and offer blessing to people from all nations.
?? ?? A New Creation - God's place will be a renewed universe"
3,2,12,?? Was the Promised Plan a failure?,"By the end of the Old Testament, the promised plan looks like a failure:
?????? - There has not been a human without sin, who defeated the deceptive snake.
??? - Israel are not able to obey God any better than foreign nations who don't even know God's laws.
?????????? - Israel are still in a broken relationship with God because of sin & disobedience.
????????????? - Israel's fractured return to Israel, and their on-going disobedience raises questions of who among them are God's people.
???? - Israel did not bless the other nations because of their moral failure
???? ?????? - Israel's King failed to be a moral example to Israel, and failed to offer blessing to other nations.
???? - Israel live in the land God gave them, but it's not in a good state."
3,2,13,??God's purposes not restored yet,"By the end of the Old Testament, none of God's purposes for life have been fully met:
????:?????? God's people 
????:?? living in God's place (promised land)
???:???????? living God's way (obeying God as his people)"
3,3,1,??The promised plan is reawakened,"Despite the bleak end of the Old Testament, a new era known the New Testament begins with a little baby, born in Bethlehem."
3,3,2,??? Jesus fulfills God's promised plan,The Bible says that Jesus is the solution to all of God's promises. Through Jesus all of God's promises are fulfilled.
3,3,3,?????Jesus defeated the deceptive snake,"Jesus is human and did not sin; he obeyed God. When Jesus died on the cross, he defeated the deceptive snake."
3,3,4,???God's people are reenabled to live God's way,Jesus obeyed God. Jesus gives his Spirit to people who trust him. The Spirit of Jesus enables people to make moral changes and desire to obey God.
3,3,5,?????????Jesus brings reconcilation between God and humanity,God accepts Jesus' death as a payment for our sin. Therefore Jesus brings peace between God and anyone who submits to Jesus.
3,3,6,??????Jesus invites people from all nations to become God's people,"The people of God are no longer the biological descendants of Abraham, but anyone who submits to Jesus. "
3,3,7,???Jesus offers blessing to people of all nations,"The nation of Israel failed to be a source of blessing to the nations, but Jesus is the one descendant of Abraham through whom God's promise to bless nations comes."
3,3,8,?????????? Jesus is King for all nations,"Jesus is a descendant of the original Kinds of Israel. Jesus obeyed God and taught how to live a moral life for God. Jesus offers the blessings of forgiveness, eternal life and peace with God to anyone from any nation. Jesus is now in heaven, awaiting the time to call his people home."
3,3,9,????God's place expands beyond Canaan,"God's place is no longer the land of Canaan (the Land of Israel). God place is the spiritual ""Kingdom of God"", but it will be a physical new universe when Jesus returns to establish his kingdom."
3,3,10,????God's purposes for life are found in Jesus,"???:?????? Through submitting to Jesus, you can join God's people 
????:?? Through submitting to Jesus, you are spiritually in God's place through the indwelling Spirit of Jesus. When Jesus returns, you will be physically in the new universe.
???:?? Through submitting to Jesus, by the help of the Spirit of Jesus, you are enabled to change behaviour toward a good moral life, but that will only be partially. Perfect moral living will only occur after Jesus returns."
3,3,11,???How does Jesus meet our purposes in Life?,"NOW:
?? Happiness - Not yet, but Joy & Positive Future Expectation 
?? Relationships - the church community (but still broken)
?? Success - No guarantees for immediate success in life 
?? Wealth, Prosperity, Possessions - No guarantees
?? Health - No guarantees"
3,3,12,???How does Jesus meet our purposes in Life?,"FUTURE:
? Happiness - The new universe will not have sadness/suffering 
? Relationships - All of God's people will enjoy mutual loving relations
? Success - There will be contentment in life, without any fear of failure 
? Wealth, Prosperity, Possessions - All of God's people will enjoy the whole universe together, without greed, theft, etc
? Health - There will be no disease, pain, suffering, or injuries."
3,3,13,??? How do you achieve it?,"God has achieved it for us, through Jesus.
Just accept Jesus.
Trust Jesus as the one who died to save you from death (the punishment for sin).
Obey Jesus as your King. "
3,3,14,????Let's compare any alternative means of seeking Purpose,"NOW:
?? Happiness - Try to find happiness, but not always find it. A Selfish desire to find pleasure, tends to lead to unhappiness 
?? Relationships - Try to find purpose in relationships may lead to dispare when relationships are harmed or broken.
?? Success - Chasing success never ends, because comparison or the fear of failure disrupts us reaching success.
?? Wealth, Prosperity, Possessions - Some of us might achieve this, but these things may not give us the sense of purpose we really crave.
?? Health - Death is a guarantee in life."
3,3,15,????Let's compare any alternative means of seeking Purpose,"FUTURE:
? Happiness - Jesus teaches that anyone who rejects him will go to hell. There is no happiness in hell, only suffering and dissatisfaction.
? Relationships - Hell is a place of isolation and torment, not of enjoyable relationships.
? Success - Hell is the ultimate failure. There are no rewards for ending up in hell. Hell is receiving the eternal punishment for rejecting God.
? Wealth, Prosperity, Possessions - You cannot take your wealth, prosperity or possessions with you into the afterlife. The poor person and the rich person alike, have the same destination.
? Health - Jesus compares hell to extreme thirst; a sense of craving sustenance and relief but never receiving it."
3,3,16,?? Conclusion,"Jesus says this: 
Whoever wants to save his life will lose it, but whoever loses his life because of me and the gospel will save it. For what does it benefit someone to gain the whole world and yet lose his life?
Mark 8:35-36 CSB"
3,3,17,?? Conclusion,"Jesus is saying that if you want to keep control of your life, and continue ignoring or disobeying God, you will lose it.
But if you give control your life over to Jesus, you will save your life.
Jesus then asks, What is the point of gaining all of the happiness, relationships, success and possessions in life, but yet you lose it when you die?

In other words, if we evaluate the advantages and disavantages, you can try to gain things now, but lose them all for eternity. Or you can surrender all to God now, and gain everything for eternity."
3,3,18,?? Conclusion,"Which is better?
The choice is very clear. Would you take up Jesus' offer?

If you are willing, pray to God. Ask Jesus to forgive your sins. Offer to live for Jesus as your King. Get a Bible and start reading. Contact a Christian friend to find out more."
